"%s extension not registered.","%s extension not registered."
"%s save error. Please try again later.","%s save error. Please try again later."
" or registration information for"," or registration information for"
" is not valid. Please check them or %s"," is not valid. Please check them or %s"
"contact us.","contact us."
"%s is required.","%s is required."
"%s is not valid.","%s is not valid."
"Activation","Activation"
"Serial Number","Serial Number"
"Registration Code","Registration Code"
"Full Name","Full Name"
"Email Address","Email Address"
"Configuration","Configuration"
"Enabled","Enabled"
"Yes","Yes"
"No","No"
"Checkout","Checkout"
"Please log in here","Please log in here"
"Retrieve your password","Retrieve your password"
"Place Order","Place Order"
"One Step Checkout","One Step Checkout"
"CODNITIVE One Step Checkout Section","CODNITIVE One Step Checkout Section"
